Origin,Destination,Hour,Travel_Time_min,Toll_AED,Gate_Count
JLT,Downtown,14,15.943225688963299,8,2
JLT,Downtown,14,15.676810540036724,8,2
JLT,Downtown,14,16.160382333796118,8,2
JLT,Downtown,18,14.859370689793735,12,2
JLT,Downtown,18,14.870667634880549,12,2
JLT,Downtown,18,14.875180310391196,12,2
JLT,Downtown,18,14.875274027647267,12,2
JLT,Downtown,18,14.87923355442428,12,2
JLT,Downtown,18,14.882493786121945,12,2
JLT,Downtown,18,14.88647725547801,12,2
JLT,Downtown,18,14.88657097273408,12,2
JLT,Downtown,18,14.93544594703737,12,2
JLT,Downtown,18,15.438943109200354,12,2
JLT,Downtown,18,15.010909500356743,12,2
JLT,Downtown,18,15.439728526800314,12,2
JLT,Downtown,18,15.514406662519725,12,2
JLT,Downtown,18,15.943225688963299,12,2
JLT,Downtown,18,15.676810540036724,12,2
JLT,Downtown,18,16.160382333796118,12,2
JLT,BusinessBay,8,13.557539976613095,12,2
JLT,BusinessBay,8,13.573349597210555,12,2
JLT,BusinessBay,8,13.577563218938684,12,2
JLT,BusinessBay,8,13.590377989114105,12,2
JLT,BusinessBay,8,13.592322509683035,12,2
JLT,BusinessBay,8,13.593372839536146,12,2
JLT,BusinessBay,8,13.597164118854405,12,2
JLT,BusinessBay,8,13.598941354663289,12,2
JLT,BusinessBay,8,14.061037138776078,12,2
JLT,BusinessBay,8,14.061822556376038,12,2
JLT,BusinessBay,8,14.565319718539023,12,2
JLT,BusinessBay,8,14.29890456961245,12,2
JLT,BusinessBay,8,14.782476363371844,12,2
JLT,BusinessBay,8,14.802401731775435,12,2
JLT,BusinessBay,8,14.803187149375393,12,2
JLT,BusinessBay,14,13.557539976613095,8,2
JLT,BusinessBay,14,13.573349597210555,8,2
JLT,BusinessBay,14,13.577563218938684,8,2
JLT,BusinessBay,14,13.590377989114105,8,2
JLT,BusinessBay,14,13.592322509683035,8,2
JLT,BusinessBay,14,13.593372839536146,8,2
JLT,BusinessBay,14,13.597164118854405,8,2
JLT,BusinessBay,14,13.598941354663289,8,2
JLT,BusinessBay,14,14.061037138776078,8,2
JLT,BusinessBay,14,14.061822556376038,8,2
JLT,BusinessBay,14,14.565319718539023,8,2
JLT,BusinessBay,14,14.29890456961245,8,2
JLT,BusinessBay,14,14.782476363371844,8,2
JLT,BusinessBay,14,14.802401731775435,8,2
JLT,BusinessBay,14,14.803187149375393,8,2
JLT,BusinessBay,18,13.557539976613095,12,2
JLT,BusinessBay,18,13.573349597210555,12,2
JLT,BusinessBay,18,13.577563218938684,12,2
JLT,BusinessBay,18,13.590377989114105,12,2
JLT,BusinessBay,18,13.592322509683035,12,2
JLT,BusinessBay,18,13.593372839536146,12,2
JLT,BusinessBay,18,13.597164118854405,12,2
JLT,BusinessBay,18,13.598941354663289,12,2
JLT,BusinessBay,18,14.061037138776078,12,2
JLT,BusinessBay,18,14.061822556376038,12,2
JLT,BusinessBay,18,14.565319718539023,12,2
